Year,Site,Type,Management,Surveys,Survey Hrs,LT Max Adults,LT Nests,LT Nests Hatched,LT Chicks 0-14,LT Chicks 15-21,LT Fledglings,PP Max Adults,PP Nests,PP Nests Hatched,PP Chicks 0-14,PP Chicks 15-28,PP Fledglings
2016 (I),Dyer,Sandpit,ABEFG,75,78,14,8,6,15,5,3,11,5,5,11,1,1
2016 (I),Elm Creek Complex East,Constructed Island,AFG,9,4,8,0,0,0,0,0,0,0,0,0,0,0
2016 (I),Elm Creek Complex West,Constructed Island,GK,8,3,4,0,0,0,0,0,1,0,0,0,0,0
2016 (I),Follmer,Sandpit,AEFGJM,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2016 (I),Hooker Brothers Southeast,Sandpit,HM,15,7,6,0,0,0,0,0,2,0,0,0,0,0
2016 (I),Johnson,Sandpit,EFG,49,46,20,8,6,9,6,6,4,1,1,2,2,1
2016 (I),Kearney Broadfoot South,Sandpit,AEFGB,82,126,37,25,17,33,20,18,13,9,6,20,9,7
2016 (I),Leaman,Sandpit,AEFG,71,84,24,14,12,34,17,12,8,4,4,14,12,6
2016 (I),Newark East,Sandpit,AEFGJLMB,58,31,7,1,1,3,2,2,6,3,3,7,7,3
2016 (I),Newark West,Sandpit,AEFG,78,91,21,12,10,22,6,3,10,8,7,25,19,14
2016 (I),Non-Access Islands Kearney Broadfoot South,Sandpit,EFM,30,9,20,0,0,0,0,0,1,0,0,0,0,0
2016 (I),NPPD Lexington,Sandpit,EFG,78,110,15,12,7,14,8,6,10,7,4,10,4,1
2016 (I),Plum Creek Complex (Dyer Island),Constructed Island,F,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2016 (I),PRRIP Cottonwood Ranch Island,Constructed Island,AFG,9,4,2,0,0,0,0,0,6,1,0,0,0,0
2016 (I),Shoemaker Island (Binfield) Complex,Constructed Island,FG,10,7,8,2,0,0,0,0,3,1,1,2,1,1
2016 (I),Trust Wildrose East,Sandpit,K,22,21,10,0,0,0,0,0,5,0,0,0,0,0
2015 (O),Blue Hole,Sandpit,EFG,96,187,34,22,15,29,26,26,20,11,8,25,22,19
2015 (O),Cottonwood Ranch,Sandpit,AEFG,48,66,19,8,8,7,5,4,6,1,1,4,2,2
2015 (O),DeWeese,Sandpit,H,13,5,2,1,1,3,0,0,0,0,0,0,0,0
2015 (O),Dyer,Sandpit,AEFG,74,102,14,6,5,13,9,5,8,4,3,10,3,1
2015 (O),Elm Creek Complex East,Constructed Island,FG,7,4,4,0,0,0,0,0,1,0,0,0,0,0
2015 (O),Elm Creek Complex West,Constructed Island,K,7,2,7,0,0,0,0,0,1,0,0,0,0,0
2015 (O),Follmer,Sandpit,EFGJM,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2015 (O),Hooker Brothers East,Sandpit,HM,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2015 (O),Hooker Brothers Southeast,Sandpit,HM,21,9,8,4,4,10,9,9,2,0,0,0,0,0
2015 (O),Johnson,Sandpit,EFG,38,31,14,7,6,11,9,9,2,1,0,2,0,0
2015 (O),Kearney Broadfoot South,Sandpit,AEFGB,88,151,37,11,7,11,7,5,14,11,2,6,1,1
